timestamp,elapsed_seconds,bga1_primary_gas_pct,bga1_secondary_gas_pct,bga1_remaining_gas_pct,bga1_primary_gas_type,bga1_secondary_gas_type,bga1_remaining_gas_type,bga2_primary_gas_pct,bga2_secondary_gas_pct,bga2_remaining_gas_pct,bga2_primary_gas_type,bga2_secondary_gas_type,bga2_remaining_gas_type,bga3_primary_gas_pct,bga3_secondary_gas_pct,bga3_remaining_gas_pct,bga3_primary_gas_type,bga3_secondary_gas_type,bga3_remaining_gas_type,purge_mode
2025-07-03 14:37:37.562,0.0,0.872,99.139,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.78,99.22,0.0,H2,N2,O2,True
2025-07-03 14:37:38.562,1.001,0.872,99.139,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.78,99.22,0.0,H2,N2,O2,True
2025-07-03 14:37:39.576,2.014,0.503,99.497,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.778,99.222,0.0,H2,N2,O2,True
2025-07-03 14:37:40.590,3.028,0.503,99.497,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.778,99.222,0.0,H2,N2,O2,True
2025-07-03 14:37:41.588,4.027,0.503,99.497,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.778,99.222,0.0,H2,N2,O2,True
2025-07-03 14:37:42.592,5.031,0.503,99.497,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.778,99.222,0.0,H2,N2,O2,True
2025-07-03 14:37:43.603,6.041,0.503,99.497,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.778,99.222,0.0,H2,N2,O2,True
2025-07-03 14:37:44.607,7.045,0.503,99.497,0.0,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.778,99.222,0.0,H2,N2,O2,True
2025-07-03 14:37:45.610,8.048,0.439,99.554,0.007,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.776,99.224,0.0,H2,N2,O2,True
2025-07-03 14:37:46.622,9.06,0.439,99.554,0.007,H2,N2,O2,0.0,0.0,0.0,H2,O2,N2,0.776,99.224,0.0,H2,N2,O2,True
