timestamp,elapsed_seconds,pressure_h2_psi,pressure_o2_psi,pressure_post_ms_psi,pressure_pre_ms_psi,pressure_h2_bp_psi,current_a,temp_inlet_c,temp_outlet_c,temp_stack1_c,temp_stack2_c,temp_ambient_c,temp_cooling_c,temp_gas_c,temp_case_c
2025-07-07 14:54:52.146,0.0,0,0,0.001,0,0.004,0,34.0,30.3,31.9,32.8,32.7,32.7,32.3,32.9
2025-07-07 14:54:53.150,1.005,0,0,0,0,0.004,0,34.0,30.3,31.9,32.8,32.7,32.8,32.3,32.9
2025-07-07 14:54:54.158,2.013,0,0,0,0,0.005,0,34.0,30.3,31.9,32.9,32.8,33.1,32.7,33.1
2025-07-07 14:54:55.163,3.018,0,0,0,0,0.005,0,34.0,30.3,31.9,32.9,33.0,33.2,32.8,33.2
2025-07-07 14:54:56.166,4.021,0,0,0,0,0.005,0,34.0,30.3,31.9,32.9,32.9,33.2,32.7,33.1
2025-07-07 14:54:57.173,5.028,0,0,0,0,0.006,0,34.0,30.3,31.9,32.9,33.1,33.3,32.8,33.3
2025-07-07 14:54:58.177,6.032,0,0,0,0,0.006,0,34.0,30.2,31.9,32.9,33.0,33.1,32.6,33.1
2025-07-07 14:54:59.188,7.042,0,0,0.002,0,0.006,0,34.0,30.2,31.9,32.9,32.8,32.8,32.4,32.9
2025-07-07 14:55:00.197,8.052,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.8,33.0,32.6,33.1
2025-07-07 14:55:01.206,9.06,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.8,32.9,32.4,32.9
2025-07-07 14:55:02.211,10.066,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.7,32.9,32.4,32.7
2025-07-07 14:55:03.216,11.071,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.6,32.8,32.3,32.8
2025-07-07 14:55:04.226,12.081,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.7,32.9,32.4,32.9
2025-07-07 14:55:05.229,13.083,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.5,32.7,32.2,32.8
2025-07-07 14:55:06.233,14.088,0,0,0,0,0.006,0,33.9,30.2,31.9,32.9,32.6,32.9,32.5,32.9
2025-07-07 14:55:07.240,15.095,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.8,33.0,32.5,33.1
2025-07-07 14:55:08.242,16.096,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.9,33.1,32.6,33.1
2025-07-07 14:55:09.247,17.101,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.7,32.9,32.4,32.9
2025-07-07 14:55:10.275,18.13,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.9,33.0,32.5,33.0
2025-07-07 14:55:11.288,19.143,0,0,0,0,0.006,0,33.9,30.2,31.9,32.9,32.8,33.1,32.5,32.9
2025-07-07 14:55:12.296,20.15,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.9,33.0,32.5,33.0
2025-07-07 14:55:13.304,21.159,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.7,32.8,32.4,33.0
2025-07-07 14:55:14.307,22.161,0,0,0,0,0.005,0,33.9,30.2,31.9,32.9,32.6,32.7,32.4,32.9
2025-07-07 14:55:15.316,23.17,0,0,0,0,0.004,0,33.9,30.2,31.9,32.9,32.9,33.2,32.8,33.2
2025-07-07 14:55:16.319,24.174,0,0,0,0,0.004,0,33.9,30.2,31.9,32.9,32.8,33.1,32.7,33.1
2025-07-07 14:55:17.334,25.189,0,0,0,0,0.003,0,33.9,30.2,31.9,32.9,32.9,33.1,32.7,33.2
2025-07-07 14:55:18.343,26.197,0,0,0,0,0.003,0,33.9,30.2,31.9,32.9,32.9,33.0,32.5,32.9
2025-07-07 14:55:19.348,27.203,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.6,32.7,32.3,32.8
2025-07-07 14:55:20.349,28.204,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.6,32.8,32.4,32.9
2025-07-07 14:55:21.356,29.211,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.7,32.9,32.4,32.9
2025-07-07 14:55:22.365,30.22,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.9,33.0,32.5,32.9
2025-07-07 14:55:23.369,31.223,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.7,32.8,32.3,32.9
2025-07-07 14:55:24.370,32.224,0,0,0,0,0.005,0,33.9,30.1,31.9,32.9,33.0,33.1,32.6,33.0
2025-07-07 14:55:25.375,33.229,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.7,32.8,32.3,32.8
2025-07-07 14:55:26.373,34.228,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.7,33.0,32.5,32.9
2025-07-07 14:55:27.377,35.232,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.8,33.0,32.6,33.0
2025-07-07 14:55:28.384,36.239,0,0,0.001,0,0.003,0,33.9,30.1,31.9,32.9,32.6,32.8,32.3,32.8
2025-07-07 14:55:29.386,37.24,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.8,32.8,32.3,32.8
2025-07-07 14:55:30.392,38.246,0,0,0,0,0.003,0,33.9,30.1,31.9,32.9,32.8,32.9,32.4,32.8
2025-07-07 14:55:31.399,39.254,0,0,0,0,0.005,0,33.9,30.1,31.9,32.9,32.6,32.8,32.4,32.9
2025-07-07 14:55:32.398,40.252,0,0,0.001,0,0.004,0,33.9,30.1,31.9,32.9,32.8,32.9,32.4,32.9
2025-07-07 14:55:33.402,41.257,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.6,32.9,32.5,33.0
2025-07-07 14:55:34.418,42.273,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.7,32.9,32.4,32.9
2025-07-07 14:55:35.431,43.285,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.8,32.9,32.4,32.9
2025-07-07 14:55:36.435,44.29,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.8,33.0,32.5,33.0
2025-07-07 14:55:37.438,45.293,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.8,32.9,32.4,33.0
2025-07-07 14:55:38.441,46.296,0,0,0.001,0,0.004,0,33.9,30.1,31.9,32.9,32.6,32.8,32.2,32.7
2025-07-07 14:55:39.443,47.298,0,0,0,0,0.004,0,33.9,30.1,31.9,32.9,32.7,33.0,32.6,33.1
2025-07-07 14:55:40.449,48.304,0,0,0,0,0.005,0,33.9,30.1,31.9,32.9,32.9,33.1,32.6,33.2
2025-07-07 14:55:41.449,49.304,0,0,0,0,0.006,0,33.9,30.1,31.9,32.9,33.0,33.0,32.5,33.0
2025-07-07 14:55:42.450,50.305,0,0,0,0,0.005,0,33.9,30.1,31.9,32.9,32.8,32.9,32.5,33.0
2025-07-07 14:55:43.450,51.305,0,0,0,0,0.005,0,33.9,30.1,31.9,32.9,32.9,33.2,32.7,33.1
2025-07-07 14:55:44.455,52.309,0,0,0,0,0.005,91.1,33.9,30.1,31.9,32.9,32.9,33.0,32.5,33.0
2025-07-07 14:55:45.462,53.317,0,0,0,0,0.005,79.8,33.9,30.1,31.9,32.9,32.8,32.9,32.4,32.9
2025-07-07 14:55:46.464,54.319,0,0,0,0,0.005,77.5,33.9,30.1,31.8,32.9,32.6,32.8,32.4,32.9
2025-07-07 14:55:47.470,55.325,0,0,0,0,0.005,75.2,33.9,30.1,31.9,32.9,32.7,32.9,32.4,32.9
2025-07-07 14:55:48.479,56.333,0,0,0,0,0.006,73.7,33.9,30.1,31.9,32.9,32.8,33.0,32.5,32.9
2025-07-07 14:55:49.484,57.339,0,0,0,0,0.005,73.3,33.9,30.1,31.8,32.9,32.9,33.1,32.7,33.1
2025-07-07 14:55:50.484,58.339,0,0,0,0,0.005,72.3,33.9,30.1,31.9,32.9,32.9,33.0,32.6,33.0
2025-07-07 14:55:51.490,59.345,0,0,0,0,0.005,71.8,33.9,30.1,31.8,32.9,32.8,32.9,32.5,33.1
2025-07-07 14:55:52.497,60.352,0,0,0,0,0.005,70.7,33.9,30.0,31.8,32.9,32.8,32.9,32.6,33.1
2025-07-07 14:55:53.516,61.371,0,0,0,0,0.005,70.0,33.9,30.0,31.8,32.9,32.7,32.9,32.4,32.9
2025-07-07 14:55:54.524,62.379,0,0,0,0,0.005,69.5,33.9,30.0,31.8,32.9,32.8,33.0,32.5,33.0
2025-07-07 14:55:55.526,63.381,0,0,0,0,0.005,69.0,33.9,30.0,31.8,32.9,32.9,33.1,32.6,33.1
2025-07-07 14:55:56.533,64.388,0,0,0,0,0.005,67.9,33.9,30.0,31.8,32.9,32.8,33.0,32.5,33.1
2025-07-07 14:55:57.539,65.394,0,0,0,0.002,0.005,67.7,33.9,30.0,31.8,32.9,33.0,33.1,32.6,33.0
2025-07-07 14:55:58.544,66.398,0,0,0,0,0.004,67.0,33.9,30.0,31.8,32.9,33.1,33.3,32.8,33.3
2025-07-07 14:55:59.555,67.41,0,0,0.001,0,0.004,66.6,33.9,30.0,31.8,32.9,32.9,33.1,32.7,33.2
2025-07-07 14:56:00.555,68.41,0,0,0,0,0.003,66.4,33.9,30.0,31.8,32.9,32.9,33.1,32.6,33.1
2025-07-07 14:56:01.559,69.413,0,0,0,0,0.006,65.9,33.9,30.0,31.8,32.9,33.0,33.1,32.6,33.2
2025-07-07 14:56:02.561,70.416,0,0,0,0,0.004,65.8,33.9,30.0,31.8,32.9,32.9,33.0,32.5,33.0
2025-07-07 14:56:03.572,71.427,0,0,0,0,0.003,65.3,33.8,30.0,31.8,32.9,32.8,32.9,32.3,33.0
2025-07-07 14:56:04.582,72.436,0,0,0,0,0.002,96.2,33.8,30.0,31.8,32.9,32.7,32.9,32.4,33.0
2025-07-07 14:56:05.584,73.438,0,0,0,0,0.002,96.2,33.9,30.0,31.8,32.9,32.8,33.0,32.6,33.1
2025-07-07 14:56:06.586,74.44,0,0,0,0,0.002,95.7,33.9,30.0,31.8,32.9,33.2,33.2,32.8,33.2
2025-07-07 14:56:07.592,75.447,0,0,0,0,0.002,95.1,33.9,30.0,31.8,32.9,33.1,33.2,32.8,33.2
2025-07-07 14:56:08.608,76.463,0,0,0,0,0.001,95.0,33.9,30.0,31.8,32.9,33.1,33.2,32.7,33.2
2025-07-07 14:56:09.616,77.471,0,0,0,0,0.0,95.0,33.8,29.9,31.8,32.9,33.1,33.3,32.9,33.4
2025-07-07 14:56:10.624,78.479,0,0,0,0,0.0,95.0,33.8,29.9,31.8,32.9,33.0,33.1,32.6,33.1
2025-07-07 14:56:11.625,79.48,0,0,0,0,0,95.0,33.8,29.9,31.8,32.9,32.9,33.0,32.7,33.2
2025-07-07 14:56:12.627,80.482,0,0,0,0,0,95.0,33.8,29.9,31.8,32.9,32.9,33.0,32.4,33.0
2025-07-07 14:56:13.629,81.484,0,0,0.001,0,0,95.0,33.8,29.9,31.8,32.9,32.9,33.1,32.7,33.1
2025-07-07 14:56:14.635,82.49,0,0,0,0,0,95.0,33.8,29.9,31.8,32.9,32.8,33.0,32.6,33.1
2025-07-07 14:56:15.644,83.498,0,0,0,0,0,95.0,33.8,29.9,31.8,32.9,33.0,33.2,32.8,33.2
